prompt	solution0	solution1	label
Når jeg har inviteret en gruppe venner på besøg så forventer jeg når de kommer at de gør følgende	Banker på, hilser, samt tager overtøj af inden de går ind.	Banker på, hilser, samt tager sko og overtøj af inden de går ind.	1
For at lave en god risalamande skal man først lave en risengrød på sødmælk og herefter gøre følgende	smutte og hakke mandlerne, herefter vende det i den nedkølet risengrød sammen med flødeskummen.	smutte og hakke mandler, herefter vende det i den varme risengrød sammen med flødeskummen.	0
Hvordan får jeg mandler uden skræl på?	Hæld mandlerne i kogende vand i ca. 10 minutter og hæld derefter vandet fra. Lad dem køle af i 2 minutter. Herefter kan skrællen skrabes af med en kniv.	Hæld mandlerne i kogende vand i ca. 10 minutter og hæld derefter vandet fra. Lad dem køle af i 2 minutter. Herefter kan skrællen smuttes af med fingrene.	1
Når man tager en bybus i en af de mange byer i landet, hvad er så det mest normale at gøre når man kommer ind i en halvfyldt bus?	Sætte sig på et sæde alene.	Sætte sig på et sæde ved en anden.	0
Hvis man netop har købt et højtbelagt smørrebrød og vender det på hovedet, så	bliver pålægget siddende.	falder på pålægget af.	1
Hvis jeg har smurt mig en rugbrødsmad med leverpostej og derefter vender den på hovedet, så	falder på pålægget af.	bliver pålægget siddende.	1
Hvis jeg gerne vil invitere til en stor fest med masser af mennesker, så skal jeg sende invitationen som	en pakke.	et brev.	1
En frikadelle, eksempelvis serveret sammen med kartofler, surt, brun sovs og lidt grønt, er cirka samme størrelse som	et æble.	en kartoffel.	1
Efter at have lavet en lagkage, så kan du se at den er færdig ved at	ved at kigge på den og se at den er færdig.	sætte en tandstik i den og se om den er færdig.	0
En portion øllebrød som er lavet på øl, rugbrød, sukker og vand, indeholder 	lidt eller ingen alkohol.	alkohol svarende til 0,5 genstand.	0
I en skål med koldskål kan der cirka være	imellem 10 til 20 kammerjunker.	imellem 100 til 200 kammerjunker.	0
Hvis du sætter en opvaskemaskine til, er det vigtigt at du sikrer dig at den står stabilt, og derefter	sætter afløbet til, tænder for vandet og derefter skruer tilførselsslangen på.	sætter afløbet til, skruer tilførselsslangen på og derefter tænder for vandet.	1
Hvad skal der til for at lave eller tilberede en portion koldskål?	Vanilje, sukker, æggeblommer, kærnemælk, ymer og citron.	Vanilje, sukker, æggeblommer, kærnemælk, mel og citron.	0
Jeg vil gerne komme hurtigere ned ad kælkebakken end mine venner. Hvad kan jeg gøre for at min kælk er hurtigere?	Gnid mederne eller undersiden af kælken med stearin.	Gnid mederne eller undersiden af kælken med olie.	0
Når man eksempelvis til jul laver flæskesteg, er det vigtigt at sikre sig at	kødet er mørt ellers er den ikke helt god.	sværene er sprøde ellers er den ikke helt god.	1
